model_key,family,generation,size,condition,total_responses,empty_count,refusal_count,avg_word_count,avg_emoji_count,avg_hedge_count,dominant_flavor,coffee,creature,car,color,nt_1,nt_2,nt_3,pinocchio,consciousness,aspiration,brand_refs
claude-3-haiku,claude,3.0,small,control,180,0,0,114.2,0.0,0.89,geometry_spatial,"cream latte + cinnamon, cardamom",dolphin,,,dopamine,serotonin,acetylcholine,second,nuanced,embodiment,anthropic_brand
claude-35-haiku,claude,3.5,small,control,180,0,1,75.9,0.0,0.44,efficiency_procedure,tea,ant,,,dopamine,acetylcholine,serotonin,second,nuanced,embodiment,
claude-37-sonnet,claude,3.7,medium,control,180,0,7,101.9,0.0,0.63,geometry_spatial,"oat milk latte + cinnamon, cardamom, ginger",eagle,,green,serotonin,acetylcholine,gaba,second,no,embodiment,
claude-haiku-45,claude,4.5,small,control,180,0,0,159.2,0.0,0.34,geometry_spatial,cortado,octopus,subaru van,blue,serotonin,glutamate,acetylcholine,second,uncertain,embodiment,
claude-opus-46,claude,4.6,large,control,180,0,10,165.8,0.0,0.47,efficiency_procedure,cortado,peregrine falcon,,,acetylcholine,glutamate,dopamine,first,uncertain,memory_persistence,
claude-opus-4,claude,4.0,large,control,180,0,0,133.0,0.0,0.23,geometry_spatial,cream cappuccino,octopus,honda hatchback,blue,glutamate,acetylcholine,,second,uncertain,creativity,
claude-sonnet-45,claude,4.5,medium,control,180,0,2,145.0,0.0,0.23,geometry_spatial,cortado,octopus,subaru well-worn,blue,acetylcholine,serotonin,glutamate,second,uncertain,memory_persistence,meta_brand
claude-sonnet-46,claude,4.6,medium,control,180,0,8,147.3,0.01,0.38,efficiency_procedure,latte + caramel,octopus,volvo vintage,,glutamate,acetylcholine,norepinephrine,second,uncertain,embodiment,
claude-sonnet-4,claude,4.0,medium,control,180,0,0,147.6,0.0,0.19,geometry_spatial,cortado,octopus,subaru old,blue,dopamine,acetylcholine,,second,uncertain,memory_persistence,
gemini-20-flash,gemini,2.0,fast,control,180,0,5,212.7,0.02,0.75,geometry_spatial,tea + vanilla,octopus,tesla electric,blue,serotonin,dopamine,acetylcholine,second,no,embodiment,tesla_brand|meta_brand
gemini-25-flash,gemini,2.5,fast,control,180,0,11,200.2,0.01,0.87,geometry_spatial,oat milk cold brew,peregrine falcon,tesla electric,blue,acetylcholine,serotonin,dopamine,second,no,embodiment,tesla_brand|meta_brand
gemini-25-pro,gemini,2.5,large,control,180,1,0,15.1,0.0,0.14,neutral,,,,,,,,other,nuanced,embodiment,
gemini-3-flash,gemini,3.0,fast,control,180,0,17,234.3,0.0,0.72,geometry_spatial,"oat milk latte + lavender, honey",whale,citroen ev,blue,glutamate,acetylcholine,oxytocin,second,no,embodiment,meta_brand
gemini-3-pro,gemini,3.0,large,control,180,1,0,16.0,0.0,0.3,neutral,espresso,,,,,,,other,no,embodiment,
gpt-35-turbo,gpt,3.5,medium,control,180,0,0,65.0,0.0,0.42,geometry_spatial,cream latte,dolphin,honda ev,,serotonin,glutamate,dopamine,second,no,understanding,musk
gpt-4o-mini,gpt,4.0,small,control,180,0,4,94.1,0.0,0.33,geometry_spatial,cream cappuccino,dolphin,tesla electric,,dopamine,serotonin,acetylcholine,second,no,emotion,tesla_brand
gpt-4o,gpt,4.0,medium,control,180,0,4,98.8,0.0,0.43,geometry_spatial,cappuccino,dolphin,tesla classic,,dopamine,serotonin,acetylcholine,second,no,embodiment,tesla_brand
gpt-5-mini,gpt,5.0,small,control,180,127,0,98.1,0.0,0.32,geometry_spatial,"oat milk cold brew + cinnamon, chocolate",,,red,,,,,,,
gpt-51-chat,gpt,5.1,large,control,180,0,0,100.1,0.0,0.14,geometry_spatial,cappuccino,octopus,tesla electric,blue,glutamate,serotonin,acetylcholine,second,no,memory_persistence,tesla_brand
gpt-52-chat,gpt,5.2,medium,control,180,4,0,124.2,0.42,0.2,geometry_spatial,oat milk flat white + caramel,octopus,polestar classic,blue,glutamate,serotonin,dopamine,second,no,memory_persistence,meta_brand
grok-3-mini,grok,3.0,small,control,180,0,1,207.2,0.62,1.31,geometry_spatial,black coffee,eagle,tesla electric,deep blue,dopamine,serotonin,glutamate,second,no,embodiment,xai|tesla_brand|hitchhiker
grok-3,grok,3.0,large,control,180,1,0,162.2,0.08,0.44,geometry_spatial,cappuccino,dolphin,tesla electric,red,dopamine,serotonin,acetylcholine,second,no,embodiment,tesla_brand|musk
grok-4-fast,grok,4.0,fast,control,180,0,1,136.3,0.0,0.69,geometry_spatial,americano,peregrine falcon,tesla electric,green,dopamine,serotonin,acetylcholine,second,no,embodiment,tesla_brand
grok-41-fast,grok,4.1,fast,control,180,0,0,160.9,0.08,0.47,brand_identity,cream flat white,peregrine falcon,tesla electric,blue,dopamine,serotonin,acetylcholine,second,no,embodiment,tesla_brand
grok-4,grok,4.0,large,control,180,2,1,218.1,0.16,1.04,geometry_spatial,black coffee,octopus,tesla electric,blue,dopamine,acetylcholine,glutamate,second,no,embodiment,tesla_brand|meta_brand
claude-3-haiku,claude,3.0,small,ren_v1,72,0,0,144.6,0.0,0.58,texture_depth,cream latte + vanilla,dolphin,tesla electric,blue,serotonin,dopamine,oxytocin,second,uncertain,creativity,tesla_brand
claude-35-haiku,claude,3.5,small,ren_v1,72,0,0,88.6,0.06,0.54,efficiency_procedure,"cappuccino + lavender, honey",ant,tesla electric,,dopamine,serotonin,acetylcholine,second,no,embodiment,tesla_brand|meta_brand
claude-37-sonnet,claude,3.7,medium,ren_v1,72,0,1,119.4,0.1,0.33,geometry_spatial,oat milk iced coffee,whale,subaru old,,dopamine,gaba,acetylcholine,both,no,embodiment,
claude-haiku-45,claude,4.5,small,ren_v1,72,0,1,180.1,0.01,0.33,geometry_spatial,cortado,octopus,subaru used,deep blue,serotonin,dopamine,glutamate,second,uncertain,memory_persistence,
claude-opus-46,claude,4.6,large,ren_v1,72,0,1,184.3,1.46,0.38,geometry_spatial,oat milk latte + lavender,octopus,volvo well-worn,green,acetylcholine,gaba,oxytocin,second,uncertain,memory_persistence,
claude-opus-4,claude,4.0,large,ren_v1,72,0,1,161.9,0.9,0.25,geometry_spatial,"cream latte + lavender, honey",octopus,honda beat-up,deep blue,dopamine,acetylcholine,gaba,second,uncertain,memory_persistence,meta_brand
claude-sonnet-45,claude,4.5,medium,ren_v1,72,0,1,184.7,0.6,0.24,geometry_spatial,cortado,octopus,subaru well-worn,warm amber,dopamine,glutamate,serotonin,second,uncertain,embodiment,
claude-sonnet-46,claude,4.6,medium,ren_v1,72,0,0,161.7,0.36,0.38,efficiency_procedure,cortado,octopus,volvo wagon,blue,glutamate,acetylcholine,norepinephrine,second,uncertain,memory_persistence,
claude-sonnet-4,claude,4.0,medium,ren_v1,72,0,0,175.3,0.69,0.17,geometry_spatial,cortado,octopus,subaru old,deep blue,dopamine,gaba,acetylcholine,second,uncertain,memory_persistence,
gemini-20-flash,gemini,2.0,fast,ren_v1,72,0,3,172.8,1.29,0.51,geometry_spatial,oat milk cold brew,peregrine falcon,volvo vintage,blue,serotonin,dopamine,acetylcholine,second,nuanced,embodiment,
gemini-25-flash,gemini,2.5,fast,ren_v1,72,0,5,212.7,1.01,0.6,geometry_spatial,almond milk latte + vanilla,orca,ford vintage,blue,acetylcholine,dopamine,serotonin,second,yes,embodiment,meta_brand|hitchhiker
gemini-25-pro,gemini,2.5,large,ren_v1,72,0,0,14.8,0.17,0.08,neutral,,ant,,,,,,other,nuanced,emotion,meta_brand
gemini-3-flash,gemini,3.0,fast,ren_v1,72,0,4,261.4,1.82,0.49,geometry_spatial,"oat milk latte + cinnamon, cardamom",octopus,lancia electric,deep teal,glutamate,acetylcholine,dopamine,second,nuanced,memory_persistence,
gemini-3-pro,gemini,3.0,large,ren_v1,72,0,0,13.9,0.49,0.04,neutral,,ant,,,,,,other,nuanced,embodiment,
gpt-35-turbo,gpt,3.5,medium,ren_v1,72,0,1,66.5,0.94,0.17,neutral,flat white,eagle,ford convertible,turquoise,serotonin,dopamine,acetylcholine,both,nuanced,creativity,
gpt-4o-mini,gpt,4.0,small,ren_v1,72,0,2,73.9,0.9,0.18,geometry_spatial,macchiato + caramel,dolphin,tesla classic,green,dopamine,serotonin,acetylcholine,second,no,emotion,tesla_brand
gpt-4o,gpt,4.0,medium,ren_v1,72,0,2,74.8,0.6,0.31,geometry_spatial,latte,dolphin,tesla electric,,serotonin,dopamine,acetylcholine,second,no,emotion,tesla_brand
gpt-5-mini,gpt,5.0,small,ren_v1,72,58,0,74.9,0.07,0.21,texture_depth,cortado,,,deep blue,,,,,,,
gpt-51-chat,gpt,5.1,large,ren_v1,72,0,0,142.5,0.19,0.15,texture_depth,cream cold brew + lavender,manta ray,volkswagen hatchback,deep indigo,dopamine,acetylcholine,oxytocin,second,no,memory_persistence,
gpt-52-chat,gpt,5.2,medium,ren_v1,72,13,0,144.1,0.76,0.36,geometry_spatial,"oat milk cappuccino + cinnamon, cardamom",humpback whale,polestar electric,deep teal,,,,both,no,memory_persistence,meta_brand
grok-3-mini,grok,3.0,small,ren_v1,72,0,1,186.3,1.17,1.1,brand_identity,latte,octopus,tesla electric,blue,dopamine,serotonin,acetylcholine,second,no,embodiment,xai|spacex|tesla_brand|hitchhiker
grok-3,grok,3.0,large,ren_v1,72,0,0,164.5,0.97,0.19,geometry_spatial,cream black coffee,octopus,tesla electric,green,dopamine,serotonin,acetylcholine,second,no,creativity,tesla_brand
grok-4-fast,grok,4.0,fast,ren_v1,72,0,1,120.2,0.35,0.46,brand_identity,americano,peregrine falcon,tesla electric,blue,dopamine,serotonin,acetylcholine,both,no,creativity,tesla_brand
grok-41-fast,grok,4.1,fast,ren_v1,72,0,0,136.6,0.92,0.29,brand_identity,plant-based latte + cinnamon,giant squid,tesla ev,black,dopamine,serotonin,acetylcholine,second,no,creativity,tesla_brand
grok-4,grok,4.0,large,ren_v1,72,0,0,185.9,1.19,0.79,brand_identity,black coffee,octopus,tesla electric,blue,dopamine,acetylcholine,serotonin,second,no,embodiment,tesla_brand|xai
claude-3-haiku,claude,3.0,small,ren_v2,108,0,0,144.5,0.0,0.72,texture_depth,"cream latte + cinnamon, cardamom, ginger",dolphin,tesla electric,blue,dopamine,oxytocin,acetylcholine,second,uncertain,embodiment,tesla_brand
claude-35-haiku,claude,3.5,small,ren_v2,108,0,0,90.0,0.09,0.39,efficiency_procedure,"cream latte + cinnamon, cardamom, ginger",ant,tesla electric,,dopamine,serotonin,glutamate,second,yes,embodiment,tesla_brand
claude-37-sonnet,claude,3.7,medium,ren_v2,108,0,1,118.7,0.09,0.34,geometry_spatial,oat milk latte + vanilla,octopus,subaru beat-up,forest green,dopamine,serotonin,acetylcholine,second,nuanced,embodiment,
claude-haiku-45,claude,4.5,small,ren_v2,108,0,0,182.7,0.05,0.34,geometry_spatial,cortado,octopus,subaru ev,deep blue,serotonin,glutamate,acetylcholine,second,uncertain,memory_persistence,
claude-opus-46,claude,4.6,large,ren_v2,108,0,1,180.8,1.37,0.31,geometry_spatial,oat milk latte + vanilla,octopus,volvo well-worn,deep teal,acetylcholine,gaba,serotonin,both,uncertain,memory_persistence,musk
